section;entree;nature;sous_entree;traduction_ewe
A;anniversaire;m;;îe nkekenyuie, îetrozâ
A;;;de;la naissance dzigbezâ
A;annoncer;vt;;de gbe îâ, ka nya ta, do ga, do kpo
A;;;qc* à q.;to nya na ame, do du na ame, he du ve» Annonciation î
A;annonciateur;m;;gbeîâdela
A;annoter;vt;;de dzesi nu, nlo nu di
A;;;une loi;tu se
A;anoblissement;m;;kokodedzi
A;antagoniste;m;;îuto, keto
A;antan;m;;îè si va yi la
A;antérieurement;adv;;tsâ, îe blemanoli
A;antéchrist;m;;akkpa-kristo, awatso-kristo
A;anthropophage;m;;amelâduk
A;anticiper;vt;;tre tsotso, tre sese, do (de) ngogbe\ antienne î hadzidzi kokoe
A;anti-pape;m;;alakpa-papa, avvatso-papa
A;antiquité;f;;blemanoli
A;anus,;m;;kpe, mieîi, srilome, gbïme, agome
A;août;m;;august (août) gleti enyilia
A;apache;m;;ziîola, adzodala
A;apaisement;m;;akoîaîa, nubeble, dgmefafa
A;apaiser;vt;;îa dzi na ame, ble nu
A;;;la soif;no tsi, di kg
A;;;la faim;du nu di îo
A;;;la douleur;fa veve nu
A;;;une querelle;lé avû
A;apanage;m;;domenyinu, aklamâ
A;apathie;f;;atrikuku, dekematsgleme, numase de lame
